"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.0.14","216.58.203.202","TLSv1.2","112","Application Data"
"2","0.002392555","192.168.0.14","216.58.203.202","TLSv1.2","97","Encrypted Alert"
"3","0.012739184","216.58.203.202","192.168.0.14","TCP","66","443  >  54080 [ACK] Seq=1 Ack=79 Win=247 Len=0 TSval=1756942489 TSecr=2473359290"
"4","0.013465929","216.58.203.202","192.168.0.14","TCP","66","443  >  54080 [FIN, ACK] Seq=1 Ack=79 Win=247 Len=0 TSval=1756942489 TSecr=2473359290"
"5","0.013479759","192.168.0.14","216.58.203.202","TCP","66","54080  >  443 [ACK] Seq=79 Ack=2 Win=306 Len=0 TSval=2473359304 TSecr=1756942489"
"6","2.990778553","192.168.0.14","216.58.203.195","TLSv1.2","112","Application Data"
"7","3.001126582","216.58.203.195","192.168.0.14","TCP","66","443  >  34650 [ACK] Seq=1 Ack=47 Win=259 Len=0 TSval=1942708783 TSecr=50508579"
"8","3.001141923","216.58.203.195","192.168.0.14","TLSv1.2","112","Application Data"
"9","3.043935733","192.168.0.14","216.58.203.195","TCP","66","34650  >  443 [ACK] Seq=47 Ack=47 Win=1444 Len=0 TSval=50508632 TSecr=1942708783"
"10","6.993411777","192.168.0.14","216.58.203.206","TLSv1.2","112","Application Data"
"11","7.003068208","216.58.203.206","192.168.0.14","TLSv1.2","112","Application Data"
"12","7.003092129","192.168.0.14","216.58.203.206","TCP","66","41784  >  443 [ACK] Seq=47 Ack=47 Win=362 Len=0 TSval=3302049054 TSecr=507394539"
"13","8.097706983","74.125.68.189","192.168.0.14","TLSv1.2","125","Application Data"
"14","8.097725055","192.168.0.14","74.125.68.189","TCP","66","60062  >  443 [ACK] Seq=1 Ack=60 Win=413 Len=0 TSval=4128117982 TSecr=184438694"
"15","8.097737727","74.125.68.189","192.168.0.14","TLSv1.2","104","Application Data"
"16","8.097743904","192.168.0.14","74.125.68.189","TCP","66","60062  >  443 [ACK] Seq=1 Ack=98 Win=413 Len=0 TSval=4128117982 TSecr=184438694"
"17","8.097749201","74.125.68.189","192.168.0.14","TLSv1.2","112","Application Data"
"18","8.097751800","192.168.0.14","74.125.68.189","TCP","66","60062  >  443 [ACK] Seq=1 Ack=144 Win=413 Len=0 TSval=4128117982 TSecr=184438694"
"19","8.097891349","192.168.0.14","74.125.68.189","TLSv1.2","112","Application Data"
"20","8.208489583","74.125.68.189","192.168.0.14","UDP","82","443  >  50344 Len=40"
"21","8.215049497","74.125.68.189","192.168.0.14","TCP","66","443  >  60062 [ACK] Seq=144 Ack=47 Win=346 Len=0 TSval=184438859 TSecr=4128117982"
"22","8.226231546","192.168.0.14","74.125.68.189","UDP","71","50344  >  443 Len=29"
"23","9.218863024","192.168.0.14","150.129.130.254","DNS","98","Standard query 0xd329 A 0.client-channel.google.com OPT"
"24","9.218874225","192.168.0.14","150.129.130.254","DNS","98","Standard query 0x4517 AAAA 0.client-channel.google.com OPT"
"25","9.218877417","192.168.0.14","74.125.68.189","TLSv1.2","437","Application Data"
"26","9.227092783","150.129.130.254","192.168.0.14","DNS","114","Standard query response 0xd329 A 0.client-channel.google.com A 74.125.68.189 OPT"
"27","9.227890233","150.129.130.254","192.168.0.14","DNS","126","Standard query response 0x4517 AAAA 0.client-channel.google.com AAAA 2404:6800:4003:c02::bd OPT"
"28","9.428316848","74.125.68.189","192.168.0.14","TCP","66","443  >  60062 [ACK] Seq=144 Ack=418 Win=356 Len=0 TSval=184439931 TSecr=4128118990"
"29","9.428333203","74.125.68.189","192.168.0.14","TLSv1.2","277","Application Data"
"30","9.428339682","74.125.68.189","192.168.0.14","TLSv1.2","125","Application Data"
"31","9.428517431","192.168.0.14","74.125.68.189","TCP","66","60062  >  443 [ACK] Seq=418 Ack=414 Win=421 Len=0 TSval=4128119313 TSecr=184439937"
